city,city_to_output
геленджик,Геленджик
георгиевск,Георгиевск
глазов,Глазов
голицыно,Голицыно
горбатов,Горбатов
горноалтайск,Горно-Алтайск
горнозаводск,Горнозаводск
горняк,Горняк
городец,Городец
городище,Городище
городовиковск,Городовиковск
гороховец,Гороховец
горячийключ,Горячий Ключ
грайворон,Грайворон
гремячинск,Гремячинск
грозный,Грозный
грязи,Грязи
грязовец,Грязовец
губаха,Губаха
губкин,Губкин
губкинский,Губкинский
гудермес,Гудермес
гуково,Гуково
гулькевичи,Гулькевичи
гурьевск,Гурьевск
гурьевск,Гурьевск
гусев,Гусев
гусиноозерск,Гусиноозёрск
гусьхрустальный,Гусь-Хрустальный
давлеканово,Давлеканово
дагестанскиеогни,Дагестанские Огни
далматово,Далматово
дальнегорск,Дальнегорск
дальнереченск,Дальнереченск
данилов,Данилов
данков,Данков
дегтярск,Дегтярск
дедовск,Дедовск
демидов,Демидов
дербент,Дербент
десногорск,Десногорск
джанкой,Джанкой
дзержинск,Дзержинск
дзержинский,Дзержинский
дивногорск,Дивногорск
дигора,Дигора
димитровград,Димитровград
дмитриев,Дмитриев
дмитров,Дмитров
дмитровск,Дмитровск
дно,Дно
добрянка,Добрянка
долгопрудный,Долгопрудный
долинск,Долинск
домодедово,Домодедово
донецк,Донецк
донской,Донской
дорогобуж,Дорогобуж
дрезна,Дрезна
дубна,Дубна
дубовка,Дубовка
дудинка,Дудинка
духовщина,Духовщина
дюртюли,Дюртюли
дятьково,Дятьково
евпатория,Евпатория
егорьевск,Егорьевск
ейск,Ейск
екатеринбург,Екатеринбург
елабуга,Елабуга
елец,Елец
елизово,Елизово
ельня,Ельня
еманжелинск,Еманжелинск
емва,Емва
енисейск,Енисейск
ермолино,Ермолино
ершов,Ершов
ессентуки,Ессентуки
ефремов,Ефремов
железноводск,Железноводск
железногорск,Железногорск
железногорскилимский,Железногорск-Илимский
жердевка,Жердевка
жигулевск,Жигулёвск
жиздра,Жиздра
жирновск,Жирновск
жуков,Жуков
жуковка,Жуковка
жуковский,Жуковский
завитинск,Завитинск
заводоуковск,Заводоуковск
заволжск,Заволжск
заволжье,Заволжье
задонск,Задонск
заинск,Заинск
закаменск,Закаменск
заозерный,Заозёрный
заозерск,Заозёрск
западнаядвина,Западная Двина
заполярный,Заполярный
зарайск,Зарайск
заречный,Заречный
заринск,Заринск
звенигово,Звенигово
звенигород,Звенигород
зверево,Зверево
зеленогорск,Зеленогорск
зеленоградск,Зеленоградск
зеленодольск,Зеленодольск
зеленокумск,Зеленокумск
зерноград,Зерноград
зея,Зея
зима,Зима
златоуст,Златоуст
злынка,Злынка
змеиногорск,Змеиногорск
знаменск,Знаменск
зубцов,Зубцов
зуевка,Зуевка
ивангород,Ивангород
иваново,Иваново
ивантеевка,Ивантеевка
ивдель,Ивдель
игарка,Игарка
ижевск,Ижевск
избербаш,Избербаш
изобильный,Изобильный
иланский,Иланский
инза,Инза
инкерман,Инкерман
иннополис,Иннополис
инсар,Инсар
инта,Инта
ипатово,Ипатово
ирбит,Ирбит
иркутск,Иркутск
исилькуль,Исилькуль
искитим,Искитим
истра,Истра
ишим,Ишим
ишимбай,Ишимбай
йошкарола,Йошкар-Ола
кадников,Кадников
казань,Казань
калач,Калач
калачнадону,Калач-на-Дону
калачинск,Калачинск
калининград,Калининград
калининск,Калининск
калтан,Калтан
калуга,Калуга
калязин,Калязин
камбарка,Камбарка
каменка,Каменка
каменногорск,Каменногорск
каменскуральский,Каменск-Уральский
каменскшахтинский,Каменск-Шахтинский
каменьнаоби,Камень-на-Оби
камешково,Камешково
камызяк,Камызяк
камышин,Камышин
камышлов,Камышлов
канаш,Канаш
кандалакша,Кандалакша
канск,Канск
карабаново,Карабаново
карабаш,Карабаш
карабулак,Карабулак
карасук,Карасук
карачаевск,Карачаевск
карачев,Карачев
каргат,Каргат
каргополь,Каргополь
карпинск,Карпинск
карталы,Карталы
касимов,Касимов
касли,Касли
каспийск,Каспийск
катавивановск,Катав-Ивановск
катайск,Катайск
качканар,Качканар
кашин,Кашин
кашира,Кашира
кедровый,Кедровый
кемерово,Кемерово
кемь,Кемь
керчь,Керчь
кизел,Кизел
кизилюрт,Кизилюрт
кизляр,Кизляр
кимовск,Кимовск
кимры,Кимры
кингисепп,Кингисепп
кинель,Кинель
кинешма,Кинешма
киреевск,Киреевск
киренск,Киренск
киржач,Киржач
кириллов,Кириллов
кириши,Кириши
киров,Киров
кировград,Кировград
кировочепецк,Кирово-Чепецк
кировск,Кировск
кирс,Кирс
кирсанов,Кирсанов
киселевск,Киселёвск
кисловодск,Кисловодск
клин,Клин
клинцы,Клинцы
княгинино,Княгинино
ковдор,Ковдор
ковров,Ковров
ковылкино,Ковылкино
когалым,Когалым
кодинск,Кодинск
козельск,Козельск
козловка,Козловка
козьмодемьянск,Козьмодемьянск
кола,Кола
кологрив,Кологрив
коломна,Коломна
колпашево,Колпашево
кольчугино,Кольчугино
коммунар,Коммунар
комсомольск,Комсомольск
комсомольскнаамуре,Комсомольск-на-Амуре
конаково,Конаково
кондопога,Кондопога
кондрово,Кондрово
константиновск,Константиновск
копейск,Копейск
кораблино,Кораблино
кореновск,Кореновск
коркино,Коркино
королев,Королёв
короча,Короча
корсаков,Корсаков
коряжма,Коряжма
костерево,Костерёво
костомукша,Костомукша
кострома,Кострома
котельники,Котельники
котельниково,Котельниково
котельнич,Котельнич
котлас,Котлас
котово,Котово
котовск,Котовск
кохма,Кохма
красавино,Красавино
красноармейск,Красноармейск
красновишерск,Красновишерск
красногорск,Красногорск
краснодар,Краснодар
краснозаводск,Краснозаводск
краснознаменск,Краснознаменск
краснокаменск,Краснокаменск
краснокамск,Краснокамск
красноперекопск,Красноперекопск
краснослободск,Краснослободск
краснотурьинск,Краснотурьинск
красноуральск,Красноуральск
красноуфимск,Красноуфимск
красноярск,Красноярск
красныйкут,КрасныйКут
красныйсулин,КрасныйСулин
красныйхолм,КрасныйХолм
кременки,Кремёнки
кропоткин,Кропоткин
крымск,Крымск
кстово,Кстово
кубинка,Кубинка
кувандык,Кувандык
кувшиново,Кувшиново
кудымкар,Кудымкар
кузнецк,Кузнецк
куйбышев,Куйбышев
кулебаки,Кулебаки
кумертау,Кумертау
кунгур,Кунгур
купино,Купино
курган,Курган
курганинск,Курганинск
курильск,Курильск
курлово,Курлово
куровское,Куровское
курск,Курск
куртамыш,Куртамыш
курчатов,Курчатов
куса,Куса
кушва,Кушва
кызыл,Кызыл
кыштым,Кыштым
кяхта,Кяхта
лабинск,Лабинск
лабытнанги,Лабытнанги
лагань,Лагань
ладушкин,Ладушкин
лаишево,Лаишево
лакинск,Лакинск
лангепас,Лангепас
лахденпохья,Лахденпохья
лебедянь,Лебедянь
лениногорск,Лениногорск
ленинск,Ленинск
ленинсккузнецкий,Ленинск-Кузнецкий
ленск,Ленск
лермонтов,Лермонтов
лесной,Лесной
лесозаводск,Лесозаводск
лесосибирск,Лесосибирск
ливны,Ливны
ликинодулево,Ликино-Дулёво
липецк,Липецк
липки,Липки
лиски,Лиски
лихославль,Лихославль
лобня,Лобня
лодейноеполе,ЛодейноеПоле
лосинопетровский,Лосино-Петровский
луга,Луга
луза,Луза
лукоянов,Лукоянов
луховицы,Луховицы
лысково,Лысково
лысьва,Лысьва
лыткарино,Лыткарино
льгов,Льгов
любань,Любань
люберцы,Люберцы
любим,Любим
людиново,Людиново
лянтор,Лянтор
магадан,Магадан
магас,Магас
магнитогорск,Магнитогорск
майкоп,Майкоп
майский,Майский
макаров,Макаров
макарьев,Макарьев
макушино,Макушино
малаявишера,МалаяВишера
малгобек,Малгобек
малмыж,Малмыж
малоархангельск,Малоархангельск
малоярославец,Малоярославец
мамадыш,Мамадыш
мамоново,Мамоново
мантурово,Мантурово
мариинск,Мариинск
мариинскийпосад,МариинскийПосад
маркс,Маркс
махачкала,Махачкала
мглин,Мглин
мегион,Мегион
медвежьегорск,Медвежьегорск
медногорск,Медногорск
медынь,Медынь
межгорье,Межгорье
междуреченск,Междуреченск
мезень,Мезень
меленки,Меленки
мелеуз,Мелеуз
менделеевск,Менделеевск
мензелинск,Мензелинск
мещовск,Мещовск
миасс,Миасс
микунь,Микунь
миллерово,Миллерово
минеральныеводы,МинеральныеВоды
минусинск,Минусинск
миньяр,Миньяр
мирный,Мирный
михайлов,Михайлов
михайловка,Михайловка
михайловск,Михайловск
мичуринск,Мичуринск
могоча,Могоча
можайск,Можайск
можга,Можга
моздок,Моздок
мончегорск,Мончегорск
морозовск,Морозовск
моршанск,Моршанск
мосальск,Мосальск
москва,Москва
муравленко,Муравленко
мураши,Мураши
мурманск,Мурманск
муром,Муром
мценск,Мценск
мыски,Мыски
мытищи,Мытищи
мышкин,Мышкин
набережныечелны,Набережные Челны
навашино,Навашино
наволоки,Наволоки
надым,Надым
назарово,Назарово
назрань,Назрань
называевск,Называевск
нальчик,Нальчик
нариманов,Нариманов
нарофоминск,Наро-Фоминск
нарткала,Нарткала
нарьянмар,Нарьян-Мар
находка,Находка
невель,Невель
невельск,Невельск
невинномысск,Невинномысск
невьянск,Невьянск
нелидово,Нелидово
неман,Неман
нерехта,Нерехта
нерчинск,Нерчинск
нерюнгри,Нерюнгри
нестеров,Нестеров
нефтегорск,Нефтегорск
нефтекамск,Нефтекамск
нефтекумск,Нефтекумск
нефтеюганск,Нефтеюганск
нея,Нея
нижневартовск,Нижневартовск
нижнекамск,Нижнекамск
нижнеудинск,Нижнеудинск
нижниесерги,НижниеСерги
нижнийломов,НижнийЛомов
нижнийновгород,НижнийНовгород
нижнийтагил,НижнийТагил
нижняясалда,НижняяСалда
нижняятура,НижняяТура
николаевск,Николаевск
николаевскнаамуре,Николаевск-на-Амуре
никольск,Никольск
никольское,Никольское
новаяладога,НоваяЛадога
новаяляля,НоваяЛяля
новоалександровск,Новоалександровск
новоалтайск,Новоалтайск
новоаннинский,Новоаннинский
нововоронеж,Нововоронеж
новодвинск,Новодвинск
новозыбков,Новозыбков
новокубанск,Новокубанск
новокузнецк,Новокузнецк
новокуйбышевск,Новокуйбышевск
новомичуринск,Новомичуринск
новомосковск,Новомосковск
новопавловск,Новопавловск
новоржев,Новоржев
новороссийск,Новороссийск
новосибирск,Новосибирск
новосиль,Новосиль
новосокольники,Новосокольники
новотроицк,Новотроицк
новоузенск,Новоузенск
новоульяновск,Новоульяновск
новоуральск,Новоуральск
новохоперск,Новохопёрск
новочебоксарск,Новочебоксарск
новочеркасск,Новочеркасск
новошахтинск,Новошахтинск
новыйоскол,НовыйОскол
новыйуренгой,НовыйУренгой
ногинск,Ногинск
нолинск,Нолинск
норильск,Норильск
ноябрьск,Ноябрьск
нурлат,Нурлат
нытва,Нытва
нюрба,Нюрба
нягань,Нягань
нязепетровск,Нязепетровск
няндома,Няндома
облучье,Облучье
обнинск,Обнинск
обоянь,Обоянь
обь,Обь
одинцово,Одинцово
озерск,Озёрск
озеры,Озёры
октябрьск,Октябрьск
октябрьский,Октябрьский
окуловка,Окуловка
оленегорск,Оленегорск
олонец,Олонец
олекминск,Олёкминск
омск,Омск
омутнинск,Омутнинск
онега,Онега
опочка,Опочка
оренбург,Оренбург
ореховозуево,Орехово-Зуево
орлов,Орлов
орск,Орск
орел,Орёл
оса,Оса
осинники,Осинники
осташков,Осташков
остров,Остров
островной,Островной
острогожск,Острогожск
отрадное,Отрадное
отрадный,Отрадный
оха,Оха
оханск,Оханск
очер,Очёр
павлово,Павлово
павловск,Павловск
павловскийпосад,Павловский Посад
палласовка,Палласовка
партизанск,Партизанск
певек,Певек
пенза,Пенза
первомайск,Первомайск
первоуральск,Первоуральск
перевоз,Перевоз
пересвет,Пересвет
переславльзалесский,Переславль-Залесский
пермь,Пермь
пестово,Пестово
петроввал,ПетровВал
петровск,Петровск
петровскзабайкальский,Петровск-Забайкальский
петрозаводск,Петрозаводск
петропавловсккамчатский,Петропавловск-Камчатский
петухово,Петухово
петушки,Петушки
печора,Печора
печоры,Печоры
пикалево,Пикалёво
пионерский,Пионерский
питкяранта,Питкяранта
плавск,Плавск
пласт,Пласт
плес,Плёс
поворино,Поворино
подольск,Подольск
подпорожье,Подпорожье
покачи,Покачи
покров,Покров
покровск,Покровск
полевской,Полевской
полесск,Полесск
полысаево,Полысаево
полярныезори,ПолярныеЗори
полярный,Полярный
поронайск,Поронайск
порхов,Порхов
похвистнево,Похвистнево
почеп,Почеп
починок,Починок
пошехонье,Пошехонье
правдинск,Правдинск
приволжск,Приволжск
приморск,Приморск
приморскоахтарск,Приморско-Ахтарск
приозерск,Приозерск
прокопьевск,Прокопьевск
пролетарск,Пролетарск
протвино,Протвино
прохладный,Прохладный
псков,Псков
пугачев,Пугачёв
пудож,Пудож
пустошка,Пустошка
пучеж,Пучеж
пушкино,Пушкино
пущино,Пущино
пыталово,Пыталово
пытьях,Пыть-Ях
пятигорск,Пятигорск
радужный,Радужный
райчихинск,Райчихинск
раменское,Раменское
рассказово,Рассказово
ревда,Ревда
реж,Реж
реутов,Реутов
ржев,Ржев
родники,Родники
рославль,Рославль
россошь,Россошь
ростов,Ростов
ростовнадону,Ростов-на-Дону
рошаль,Рошаль
ртищево,Ртищево
рубцовск,Рубцовск
рудня,Рудня
руза,Руза
рузаевка,Рузаевка
рыбинск,Рыбинск
рыбное,Рыбное
рыльск,Рыльск
ряжск,Ряжск
рязань,Рязань
саки,Саки
салават,Салават
салаир,Салаир
салехард,Салехард
сальск,Сальск
самара,Самара
санктпетербург,Санкт-Петербург
саранск,Саранск
сарапул,Сарапул
саратов,Саратов
саров,Саров
сасово,Сасово
сатка,Сатка
сафоново,Сафоново
саяногорск,Саяногорск
саянск,Саянск
светлогорск,Светлогорск
светлоград,Светлоград
светлый,Светлый
светогорск,Светогорск
свирск,Свирск
свободный,Свободный
себеж,Себеж
севастополь,Севастополь
северокурильск,Северо-Курильск
северобайкальск,Северобайкальск
северодвинск,Северодвинск
североморск,Североморск
североуральск,Североуральск
северск,Северск
севск,Севск
сегежа,Сегежа
сельцо,Сельцо
семикаракорск,Семикаракорск
семилуки,Семилуки
семенов,Семёнов
сенгилей,Сенгилей
серафимович,Серафимович
сергач,Сергач
сергиевпосад,Сергиев Посад
сердобск,Сердобск
серов,Серов
серпухов,Серпухов
сертолово,Сертолово
сибай,Сибай
сим,Сим
симферополь,Симферополь
сковородино,Сковородино
скопин,Скопин
славгород,Славгород
славск,Славск
славянскнакубани,Славянск-на-Кубани
сланцы,Сланцы
слободской,Слободской
слюдянка,Слюдянка
смоленск,Смоленск
снежинск,Снежинск
снежногорск,Снежногорск
собинка,Собинка
советск,Советск
советскаягавань,СоветскаяГавань
советский,Советский
сокол,Сокол
солигалич,Солигалич
соликамск,Соликамск
солнечногорск,Солнечногорск
сольилецк,Соль-Илецк
сольвычегодск,Сольвычегодск
сольцы,Сольцы
сорочинск,Сорочинск
сорск,Сорск
сортавала,Сортавала
сосенский,Сосенский
сосновка,Сосновка
сосновоборск,Сосновоборск
сосновыйбор,СосновыйБор
сосногорск,Сосногорск
сочи,Сочи
спасдеменск,Спас-Деменск
спасклепики,Спас-Клепики
спасск,Спасск
спасскдальний,Спасск-Дальний
спасскрязанский,Спасск-Рязанский
среднеколымск,Среднеколымск
среднеуральск,Среднеуральск
сретенск,Сретенск
ставрополь,Ставрополь
стараякупавна,СтараяКупавна
стараярусса,СтараяРусса
старица,Старица
стародуб,Стародуб
старыйкрым,СтарыйКрым
старыйоскол,СтарыйОскол
стерлитамак,Стерлитамак
стрежевой,Стрежевой
строитель,Строитель
струнино,Струнино
ступино,Ступино
суворов,Суворов
судак,Судак
суджа,Суджа
судогда,Судогда
суздаль,Суздаль
суоярви,Суоярви
сураж,Сураж
сургут,Сургут
суровикино,Суровикино
сурск,Сурск
сусуман,Сусуман
сухиничи,Сухиничи
сухойлог,СухойЛог
сызрань,Сызрань
сыктывкар,Сыктывкар
сысерть,Сысерть
сычевка,Сычёвка
сясьстрой,Сясьстрой
тавда,Тавда
таганрог,Таганрог
тайга,Тайга
тайшет,Тайшет
талдом,Талдом
тамбов,Тамбов
тара,Тара
таркосале,Тарко-Сале
таруса,Таруса
татарск,Татарск
таштагол,Таштагол
тверь,Тверь
теберда,Теберда
тейково,Тейково
темников,Темников
темрюк,Темрюк
терек,Терек
тетюши,Тетюши
тимашевск,Тимашёвск
тихвин,Тихвин
тихорецк,Тихорецк
тобольск,Тобольск
тогучин,Тогучин
тольятти,Тольятти
томари,Томари
томмот,Томмот
томск,Томск
топки,Топки
торжок,Торжок
торопец,Торопец
тосно,Тосно
тотьма,Тотьма
троицк,Троицк
трубчевск,Трубчевск
трехгорный,Трёхгорный
туапсе,Туапсе
туймазы,Туймазы
тула,Тула
тулун,Тулун
туран,Туран
туринск,Туринск
тутаев,Тутаев
тында,Тында
тырныауз,Тырныауз
тюкалинск,Тюкалинск
тюмень,Тюмень
уварово,Уварово
углегорск,Углегорск
углич,Углич
удачный,Удачный
удомля,Удомля
ужур,Ужур
узловая,Узловая
уланудэ,Улан-Удэ
ульяновск,Ульяновск
унеча,Унеча
урай,Урай
урень,Урень
уржум,Уржум
урусмартан,Урус-Мартан
урюпинск,Урюпинск
усинск,Усинск
усмань,Усмань
усолье,Усолье
усольесибирское,Усолье-Сибирское
уссурийск,Уссурийск
устьджегута,Усть-Джегута
устьилимск,Усть-Илимск
устькатав,Усть-Катав
устькут,Усть-Кут
устьлабинск,Усть-Лабинск
устюжна,Устюжна
уфа,Уфа
ухта,Ухта
учалы,Учалы
уяр,Уяр
фатеж,Фатеж
феодосия,Феодосия
фокино,Фокино
фролово,Фролово
фрязино,Фрязино
фурманов,Фурманов
хабаровск,Хабаровск
хадыженск,Хадыженск
хантымансийск,Ханты-Мансийск
харабали,Харабали
харовск,Харовск
хасавюрт,Хасавюрт
хвалынск,Хвалынск
хилок,Хилок
химки,Химки
холм,Холм
холмск,Холмск
хотьково,Хотьково
цивильск,Цивильск
цимлянск,Цимлянск
циолковский,Циолковский
чадан,Чадан
чайковский,Чайковский
чапаевск,Чапаевск
чаплыгин,Чаплыгин
чебаркуль,Чебаркуль
чебоксары,Чебоксары
чегем,Чегем
чекалин,Чекалин
челябинск,Челябинск
чердынь,Чердынь
черемхово,Черемхово
черепаново,Черепаново
череповец,Череповец
черкесск,Черкесск
черноголовка,Черноголовка
черногорск,Черногорск
чернушка,Чернушка
черняховск,Черняховск
чехов,Чехов
чистополь,Чистополь
чита,Чита
чкаловск,Чкаловск
чудово,Чудово
чулым,Чулым
чусовой,Чусовой
чухлома,Чухлома
чермоз,Чёрмоз
шагонар,Шагонар
шадринск,Шадринск
шали,Шали
шарыпово,Шарыпово
шарья,Шарья
шатура,Шатура
шахты,Шахты
шахтерск,Шахтёрск
шахунья,Шахунья
шацк,Шацк
шебекино,Шебекино
шелехов,Шелехов
шенкурск,Шенкурск
шилка,Шилка
шимановск,Шимановск
шиханы,Шиханы
шлиссельбург,Шлиссельбург
шумерля,Шумерля
шумиха,Шумиха
шуя,Шуя
щигры,Щигры
щучье,Щучье
щекино,Щёкино
щелкино,Щёлкино
щелково,Щёлково
электрогорск,Электрогорск
электросталь,Электросталь
электроугли,Электроугли
элиста,Элиста
энгельс,Энгельс
эртиль,Эртиль
югорск,Югорск
южа,Южа
южносахалинск,Южно-Сахалинск
южносухокумск,Южно-Сухокумск
южноуральск,Южноуральск
юрга,Юрга
юрьевпольский,Юрьев-Польский
юрьевец,Юрьевец
юрюзань,Юрюзань
юхнов,Юхнов
ядрин,Ядрин
якутск,Якутск
ялта,Ялта
ялуторовск,Ялуторовск
янаул,Янаул
яранск,Яранск
яровое,Яровое
ярославль,Ярославль
ярцево,Ярцево
ясногорск,Ясногорск
ясный,Ясный
яхрома,Яхрома
